format,metric,year,number_of_records,value_actual
Other Ad-Supported Streaming,Value (Adjusted),2009,1,0
Other Ad-Supported Streaming,Value (Adjusted),2010,1,0
Other Ad-Supported Streaming,Value (Adjusted),2011,1,0
Other Ad-Supported Streaming,Value (Adjusted),2012,1,0
Other Ad-Supported Streaming,Value (Adjusted),2013,1,0
Other Ad-Supported Streaming,Value (Adjusted),2014,1,0
Other Ad-Supported Streaming,Value (Adjusted),2015,1,0
Other Ad-Supported Streaming,Value (Adjusted),2016,1,86.559596683
Other Ad-Supported Streaming,Value (Adjusted),2017,1,273.040319024
Other Ad-Supported Streaming,Value (Adjusted),2018,1,255.967443871
Other Ad-Supported Streaming,Value (Adjusted),2019,1,251.064710118
Other Digital,Value (Adjusted),1973,1,0
Other Digital,Value (Adjusted),1974,1,0
Other Digital,Value (Adjusted),1975,1,0
Other Digital,Value (Adjusted),1976,1,0
Other Digital,Value (Adjusted),1977,1,0
Other Digital,Value (Adjusted),1978,1,0
Other Digital,Value (Adjusted),1979,1,0
Other Digital,Value (Adjusted),1980,1,0
Other Digital,Value (Adjusted),1981,1,0
Other Digital,Value (Adjusted),1982,1,0
Other Digital,Value (Adjusted),1983,1,0
Other Digital,Value (Adjusted),1984,1,0
Other Digital,Value (Adjusted),1985,1,0
Other Digital,Value (Adjusted),1986,1,0
Other Digital,Value (Adjusted),1987,1,0
Other Digital,Value (Adjusted),1988,1,0
Other Digital,Value (Adjusted),1989,1,0
Other Digital,Value (Adjusted),1990,1,0
